country_region,province_state,date,confirmed,deaths,recovered,admin2
Ethiopia,,2020-04-02,29,0,3,
Indonesia,,2020-04-02,1790,170,112,
Malaysia,,2020-04-02,3116,50,767,
Colombia,,2020-04-03,1267,25,55,
Ethiopia,,2020-04-03,35,0,3,
Indonesia,,2020-04-03,1986,181,134,
Malaysia,,2020-04-03,3333,53,827,
Colombia,,2020-04-04,1406,32,85,
Ethiopia,,2020-04-04,38,0,4,
Indonesia,,2020-04-04,2092,191,150,
Malaysia,,2020-04-04,3483,57,915,
Colombia,,2020-04-05,1485,35,88,
Ethiopia,,2020-04-05,43,2,4,
Indonesia,,2020-04-05,2273,198,164,
Malaysia,,2020-04-05,3662,61,1005,
Colombia,,2020-04-06,1579,46,88,
Ethiopia,,2020-04-06,44,2,4,
Indonesia,,2020-04-06,2491,209,192,
Malaysia,,2020-04-06,3793,62,1241,
Colombia,,2020-04-07,1780,50,100,
Ethiopia,,2020-04-07,52,2,4,
Indonesia,,2020-04-07,2738,221,204,
Malaysia,,2020-04-07,3963,63,1321,
Colombia,,2020-04-08,2054,54,123,
Ethiopia,,2020-04-08,55,2,4,
Indonesia,,2020-04-08,2956,240,222,
Malaysia,,2020-04-08,4119,65,1487,
Colombia,,2020-04-09,2223,69,174,
Ethiopia,,2020-04-09,56,2,4,
Indonesia,,2020-04-09,3293,280,252,
Malaysia,,2020-04-09,4228,67,1608,
Colombia,,2020-04-10,2473,80,197,
Ethiopia,,2020-04-10,65,3,4,
Indonesia,,2020-04-10,3512,306,282,
Malaysia,,2020-04-10,4346,70,1830,
Colombia,,2020-04-11,2709,100,214,
Ethiopia,,2020-04-11,69,3,10,
Indonesia,,2020-04-11,3842,327,286,
Malaysia,,2020-04-11,4530,73,1995,
Colombia,,2020-04-12,2776,109,270,
Ethiopia,,2020-04-12,71,3,10,
Indonesia,,2020-04-12,4241,373,359,
Malaysia,,2020-04-12,4683,76,2108,
Colombia,,2020-04-13,2852,112,319,
Ethiopia,,2020-04-13,74,3,14,
Indonesia,,2020-04-13,4557,399,380,
Malaysia,,2020-04-13,4817,77,2276,
Colombia,,2020-04-14,2979,127,354,
Ethiopia,,2020-04-14,82,3,14,
Indonesia,,2020-04-14,4839,459,426,
Malaysia,,2020-04-14,4987,82,2478,
Colombia,,2020-04-15,3105,131,452,
Ethiopia,,2020-04-15,85,3,15,
Indonesia,,2020-04-15,5136,469,446,
Malaysia,,2020-04-15,5072,83,2647,
Colombia,,2020-04-16,3233,144,550,
Ethiopia,,2020-04-16,92,3,15,
Indonesia,,2020-04-16,5516,496,548,
Malaysia,,2020-04-16,5182,84,2766,
Colombia,,2020-04-17,3439,153,634,
Ethiopia,,2020-04-17,96,3,15,
Indonesia,,2020-04-17,5923,520,607,
Malaysia,,2020-04-17,5251,86,2967,
Malaysia,,2020-04-18,5305,88,3102,
Colombia,,2020-04-18,3439,153,634,
Ethiopia,,2020-04-18,105,3,16,
Indonesia,,2020-04-18,6248,535,631,
Colombia,,2020-04-19,3792,179,711,
Ethiopia,,2020-04-19,108,3,16,
Indonesia,,2020-04-19,6575,582,686,
Malaysia,,2020-04-19,5389,89,3197,
Colombia,,2020-04-20,3977,189,804,
Ethiopia,,2020-04-20,111,3,16,
Indonesia,,2020-04-20,6760,590,747,
Malaysia,,2020-04-20,5425,89,3295,
Colombia,,2020-04-21,4149,196,804,
Ethiopia,,2020-04-21,114,3,16,
Indonesia,,2020-04-21,7135,616,842,
Malaysia,,2020-04-21,5482,92,3349,
Colombia,,2020-04-22,4356,206,870,
Ethiopia,,2020-04-22,116,3,21,
Indonesia,,2020-04-22,7418,635,913,
Malaysia,,2020-04-22,5532,93,3452,
Colombia,,2020-04-23,4561,215,927,
Ethiopia,,2020-04-23,116,3,21,
Indonesia,,2020-04-23,7775,647,960,
Malaysia,,2020-04-23,5603,95,3542,
Colombia,,2020-04-24,4881,225,1003,
Ethiopia,,2020-04-24,117,3,25,
Indonesia,,2020-04-24,8211,689,1002,
Malaysia,,2020-04-24,5691,96,3663,
Colombia,,2020-04-25,5142,233,1067,
Ethiopia,,2020-04-25,122,3,29,
Indonesia,,2020-04-25,8607,720,1042,
Malaysia,,2020-04-25,5742,98,3762,
Colombia,,2020-04-26,5379,244,1133,
Ethiopia,,2020-04-26,123,3,41,
Indonesia,,2020-04-26,8882,743,1107,
Malaysia,,2020-04-26,5780,98,3862,
Colombia,,2020-04-27,5597,253,1210,
Ethiopia,,2020-04-27,124,3,50,
Indonesia,,2020-04-27,9096,765,1151,
Malaysia,,2020-04-27,5820,99,3957,
Colombia,,2020-04-28,5949,269,1268,
Ethiopia,,2020-04-28,126,3,50,
Indonesia,,2020-04-28,9511,773,1254,
Malaysia,,2020-04-28,5851,100,4032,
Colombia,,2020-04-29,6207,278,1411,
Ethiopia,,2020-04-29,130,3,58,
Indonesia,,2020-04-29,9771,784,1391,
Malaysia,,2020-04-29,5945,100,4087,
Colombia,,2020-04-30,6507,293,1439,
Ethiopia,,2020-04-30,131,3,59,
Indonesia,,2020-04-30,10118,792,1522,
Malaysia,,2020-04-30,6002,102,4171,
Colombia,,2020-05-01,7006,314,1551,
Ethiopia,,2020-05-01,133,3,66,
Indonesia,,2020-05-01,10551,800,1591,
Malaysia,,2020-05-01,6071,103,4210,
Colombia,,2020-05-02,7285,324,1666,
Ethiopia,,2020-05-02,133,3,69,
Indonesia,,2020-05-02,10843,831,1665,
Malaysia,,2020-05-02,6176,103,4326,
Colombia,,2020-05-03,7668,340,1722,
Ethiopia,,2020-05-03,135,3,75,
Indonesia,,2020-05-03,11192,845,1876,
Malaysia,,2020-05-03,6298,105,4413,
Colombia,,2020-05-04,7973,358,1807,
Ethiopia,,2020-05-04,140,3,75,
Indonesia,,2020-05-04,11587,864,1954,
Malaysia,,2020-05-04,6353,105,4484,
Colombia,,2020-05-05,8613,378,2013,
Ethiopia,,2020-05-05,145,4,91,
Indonesia,,2020-05-05,12071,872,2197,
Malaysia,,2020-05-05,6383,106,4567,
Colombia,,2020-05-06,8959,397,2148,
Ethiopia,,2020-05-06,162,4,93,
Indonesia,,2020-05-06,12438,895,2317,
Malaysia,,2020-05-06,6428,107,4702,
Colombia,,2020-05-07,9456,407,2300,
Ethiopia,,2020-05-07,191,4,93,
Indonesia,,2020-05-07,12776,930,2381,
Malaysia,,2020-05-07,6467,107,4776,
Colombia,,2020-05-08,10051,428,2424,
Ethiopia,,2020-05-08,194,4,95,
Indonesia,,2020-05-08,13112,943,2494,
Malaysia,,2020-05-08,6535,107,4864,
Colombia,,2020-05-09,10495,445,2569,
Ethiopia,,2020-05-09,210,5,97,
Indonesia,,2020-05-09,13645,959,2607,
Malaysia,,2020-05-09,6589,108,4929,
Colombia,,2020-05-10,11063,463,2705,
Ethiopia,,2020-05-10,239,5,99,
Indonesia,,2020-05-10,14032,973,2698,
Malaysia,,2020-05-10,6656,108,5025,
Colombia,,2020-05-11,11613,479,2825,
Ethiopia,,2020-05-11,250,5,105,
Indonesia,,2020-05-11,14265,991,2881,
Malaysia,,2020-05-11,6726,109,5113,
Colombia,,2020-05-12,12272,493,2971,
Ethiopia,,2020-05-12,261,5,106,
Indonesia,,2020-05-12,14749,1007,3063,
Malaysia,,2020-05-12,6742,109,5223,
Colombia,,2020-05-13,12930,509,3133,
Ethiopia,,2020-05-13,263,5,108,
Indonesia,,2020-05-13,15438,1028,3287,
Malaysia,,2020-05-13,6779,111,5281,
Colombia,,2020-05-14,13610,525,3358,
Ethiopia,,2020-05-14,272,5,108,
Indonesia,,2020-05-14,16006,1043,3518,
Malaysia,,2020-05-14,6819,112,5351,
Colombia,,2020-05-15,14216,546,3460,
Ethiopia,,2020-05-15,287,5,112,
Indonesia,,2020-05-15,16496,1076,3803,
Malaysia,,2020-05-15,6855,112,5439,
Colombia,,2020-05-16,14939,562,3587,
Ethiopia,,2020-05-16,306,5,113,
Indonesia,,2020-05-16,17025,1089,3911,
Malaysia,,2020-05-16,6872,113,5512,
Colombia,,2020-05-17,15574,574,3751,
Ethiopia,,2020-05-17,317,5,113,
Indonesia,,2020-05-17,17514,1148,4129,
Malaysia,,2020-05-17,6894,113,5571,
Colombia,,2020-05-18,16295,592,3903,
Ethiopia,,2020-05-18,352,5,116,
Indonesia,,2020-05-18,18010,1191,4324,
Malaysia,,2020-05-18,6941,113,5615,
Colombia,,2020-05-19,16935,613,4050,
Ethiopia,,2020-05-19,365,5,120,
Indonesia,,2020-05-19,18496,1221,4467,
Malaysia,,2020-05-19,6978,114,5646,
Colombia,,2020-05-20,17687,630,4256,
Ethiopia,,2020-05-20,389,5,122,
Indonesia,,2020-05-20,19189,1242,4575,
Malaysia,,2020-05-20,7009,114,5706,
Colombia,,2020-05-21,18330,652,4431,
Ethiopia,,2020-05-21,399,5,123,
Indonesia,,2020-05-21,20162,1278,4838,
Malaysia,,2020-05-21,7059,114,5796,
Colombia,,2020-05-22,19131,682,4575,
Ethiopia,,2020-05-22,433,5,128,
Indonesia,,2020-05-22,20796,1326,5057,
Malaysia,,2020-05-22,7137,115,5859,
Colombia,,2020-05-23,20177,705,4718,
Ethiopia,,2020-05-23,494,5,151,
Indonesia,,2020-05-23,21745,1351,5249,
Malaysia,,2020-05-23,7185,115,5912,
Colombia,,2020-05-24,21175,727,5016,
Ethiopia,,2020-05-24,582,5,152,
Indonesia,,2020-05-24,22271,1372,5402,
Malaysia,,2020-05-24,7245,115,5945,
Colombia,,2020-05-25,21981,750,5265,
Ethiopia,,2020-05-25,655,5,159,
Indonesia,,2020-05-25,22750,1391,5642,
Malaysia,,2020-05-25,7417,115,5979,
Colombia,,2020-05-26,23003,776,5511,
Ethiopia,,2020-05-26,701,6,167,
Indonesia,,2020-05-26,23165,1418,5877,
Malaysia,,2020-05-26,7604,115,6041,
Colombia,,2020-05-27,24104,803,6111,
Ethiopia,,2020-05-27,731,6,181,
Indonesia,,2020-05-27,23851,1473,6057,
Malaysia,,2020-05-27,7619,115,6083,
Colombia,Amazonas,2020-05-28,1723,57,120,
Colombia,Antioquia,2020-05-28,960,6,405,
Colombia,Arauca,2020-05-28,1,0,0,
Colombia,Atlantico,2020-05-28,3114,81,330,
Colombia,Bolivar,2020-05-28,2516,125,361,
Colombia,Boyaca,2020-05-28,178,9,64,
Colombia,Caldas,2020-05-28,134,6,82,
Colombia,Capital District,2020-05-28,8045,235,2552,
Colombia,Caqueta,2020-05-28,24,1,7,
Colombia,Casanare,2020-05-28,33,0,18,
Colombia,Cauca,2020-05-28,80,4,40,
Colombia,Cesar,2020-05-28,115,12,54,
Colombia,Choco,2020-05-28,154,5,14,
Colombia,Cordoba,2020-05-28,96,6,23,
Colombia,Cundinamarca,2020-05-28,676,14,239,
Colombia,Huila,2020-05-28,244,13,151,
Colombia,La Guajira,2020-05-28,55,4,14,
Colombia,Magdalena,2020-05-28,548,37,160,
Colombia,Meta,2020-05-28,972,9,98,
Colombia,Narino,2020-05-28,825,37,81,
Colombia,Norte de Santander,2020-05-28,124,13,78,
Colombia,Putumayo,2020-05-28,7,0,0,
Colombia,Quindio,2020-05-28,107,2,67,
Colombia,Risaralda,2020-05-28,249,8,204,
Colombia,San Andres y Providencia,2020-05-28,17,0,11,
Colombia,Santander,2020-05-28,58,3,38,
Colombia,Sucre,2020-05-28,10,0,3,
Colombia,Tolima,2020-05-28,237,8,97,
Colombia,Valle del Cauca,2020-05-28,2828,138,821,
Colombia,Vaupes,2020-05-28,11,0,0,
Ethiopia,,2020-05-28,831,7,191,
Indonesia,,2020-05-28,24538,1496,6240,
Malaysia,,2020-05-28,7629,115,6169,
Colombia,Amazonas,2020-05-29,1761,59,128,
Colombia,Antioquia,2020-05-29,1005,6,409,
Colombia,Arauca,2020-05-29,1,0,0,
Colombia,Atlantico,2020-05-29,3277,83,421,
Colombia,Bolivar,2020-05-29,2661,133,406,
Colombia,Boyaca,2020-05-29,182,10,66,
Colombia,Caldas,2020-05-29,135,6,84,
Colombia,Capital District,2020-05-29,8536,238,2837,
Colombia,Caqueta,2020-05-29,24,1,7,
Colombia,Casanare,2020-05-29,33,0,18,
Colombia,Cauca,2020-05-29,90,4,41,
Colombia,Cesar,2020-05-29,130,12,59,
Colombia,Choco,2020-05-29,196,5,18,
Colombia,Cordoba,2020-05-29,101,6,25,
Colombia,Cundinamarca,2020-05-29,757,15,244,
Colombia,Guainia,2020-05-29,6,0,0,
Colombia,Huila,2020-05-29,251,13,158,
Colombia,La Guajira,2020-05-29,57,4,14,
Colombia,Magdalena,2020-05-29,556,37,163,
Colombia,Meta,2020-05-29,973,9,99,
Colombia,Narino,2020-05-29,867,39,115,
Colombia,Norte de Santander,2020-05-29,128,13,83,
Colombia,Putumayo,2020-05-29,7,0,0,
Colombia,Quindio,2020-05-29,107,2,73,
Colombia,Risaralda,2020-05-29,249,8,206,
Colombia,San Andres y Providencia,2020-05-29,17,0,11,
Colombia,Santander,2020-05-29,59,3,38,
Colombia,Sucre,2020-05-29,15,0,3,
Colombia,Tolima,2020-05-29,245,8,121,
Colombia,Valle del Cauca,2020-05-29,2969,141,840,
Colombia,Vaupes,2020-05-29,11,0,0,
Ethiopia,,2020-05-29,968,8,197,
Indonesia,,2020-05-29,25216,1520,6492,
Malaysia,,2020-05-29,7732,115,6235,
Colombia,Amazonas,2020-05-30,1799,61,141,
Colombia,Antioquia,2020-05-30,1024,6,449,
Colombia,Arauca,2020-05-30,1,0,0,
Colombia,Atlantico,2020-05-30,3424,87,451,
Colombia,Bolivar,2020-05-30,2845,140,432,
Colombia,Boyaca,2020-05-30,190,10,71,
Colombia,Caldas,2020-05-30,135,6,87,
Colombia,Capital District,2020-05-30,9162,250,2918,
Colombia,Caqueta,2020-05-30,24,1,7,
Colombia,Casanare,2020-05-30,34,0,23,
Colombia,Cauca,2020-05-30,91,4,43,
Colombia,Cesar,2020-05-30,163,12,59,
Colombia,Choco,2020-05-30,196,5,18,
Colombia,Cordoba,2020-05-30,110,6,27,
Colombia,Cundinamarca,2020-05-30,811,15,247,
Colombia,Guainia,2020-05-30,6,0,0,
Colombia,Huila,2020-05-30,247,13,160,
Colombia,La Guajira,2020-05-30,57,4,18,
Colombia,Magdalena,2020-05-30,568,38,173,
Colombia,Meta,2020-05-30,974,9,101,
Colombia,Narino,2020-05-30,946,39,116,
Colombia,Norte de Santander,2020-05-30,128,13,85,
Colombia,Putumayo,2020-05-30,8,1,0,
Colombia,Quindio,2020-05-30,107,2,74,
Colombia,Risaralda,2020-05-30,251,8,206,
Colombia,San Andres y Providencia,2020-05-30,17,0,11,
Colombia,Santander,2020-05-30,59,3,38,
Colombia,Sucre,2020-05-30,15,0,3,
Colombia,Tolima,2020-05-30,247,9,122,
Colombia,Valle del Cauca,2020-05-30,3083,149,855,
Colombia,Vaupes,2020-05-30,11,0,0,
Colombia,Vichada,2020-05-30,1,0,0,
Ethiopia,,2020-05-30,1063,8,208,
Indonesia,,2020-05-30,25773,1573,7015,
Malaysia,,2020-05-30,7762,115,6330,
Colombia,Amazonas,2020-05-31,1832,61,147,
Colombia,Antioquia,2020-05-31,1059,7,450,
Colombia,Arauca,2020-05-31,1,0,1,
Colombia,Atlantico,2020-05-31,2668,82,358,
Colombia,Bolivar,2020-05-31,3042,143,478,
Colombia,Boyaca,2020-05-31,190,10,71,
Colombia,Caldas,2020-05-31,135,6,88,
Colombia,Capital District,2020-05-31,9637,261,2986,
Colombia,Caqueta,2020-05-31,24,1,7,
Colombia,Casanare,2020-05-31,34,0,23,
Colombia,Cauca,2020-05-31,95,4,44,
Colombia,Cesar,2020-05-31,208,12,59,
Colombia,Choco,2020-05-31,219,7,24,
Colombia,Cordoba,2020-05-31,121,6,27,
Colombia,Cundinamarca,2020-05-31,852,16,248,
Colombia,Guainia,2020-05-31,6,0,0,
Colombia,Huila,2020-05-31,247,13,161,
Colombia,La Guajira,2020-05-31,58,4,19,
Colombia,Magdalena,2020-05-31,594,39,177,
Colombia,Meta,2020-05-31,975,9,101,
Colombia,Narino,2020-05-31,1006,44,116,
Colombia,Norte de Santander,2020-05-31,128,13,85,
Colombia,Putumayo,2020-05-31,9,1,1,
Colombia,Quindio,2020-05-31,107,3,73,
Colombia,Risaralda,2020-05-31,253,8,208,
Colombia,San Andres y Providencia,2020-05-31,17,0,11,
Colombia,Santander,2020-05-31,58,3,39,
Colombia,Sucre,2020-05-31,19,0,3,
Colombia,Tolima,2020-05-31,248,9,129,
Colombia,Valle del Cauca,2020-05-31,3365,154,898,
Colombia,Vaupes,2020-05-31,11,0,0,
Colombia,Vichada,2020-05-31,1,0,0,
Ethiopia,,2020-05-31,1172,11,209,
Indonesia,,2020-05-31,26473,1613,7308,
Malaysia,,2020-05-31,7819,115,6353,
Colombia,Amazonas,2020-06-01,1847,62,207,
Colombia,Antioquia,2020-06-01,1103,7,478,
Colombia,Arauca,2020-06-01,1,0,1,
Colombia,Atlantico,2020-06-01,2796,93,447,
Colombia,Bolivar,2020-06-01,3192,151,525,
Colombia,Boyaca,2020-06-01,211,11,81,
Colombia,Caldas,2020-06-01,135,6,94,
Colombia,Capital District,2020-06-01,9989,268,3396,
Colombia,Caqueta,2020-06-01,24,1,13,
Colombia,Casanare,2020-06-01,35,0,24,
Colombia,Cauca,2020-06-01,101,4,44,
Colombia,Cesar,2020-06-01,254,12,59,
Colombia,Choco,2020-06-01,226,8,26,
Colombia,Cordoba,2020-06-01,124,7,38,
Colombia,Cundinamarca,2020-06-01,897,18,281,
Colombia,Guainia,2020-06-01,6,0,0,
Colombia,Huila,2020-06-01,249,13,171,
Colombia,La Guajira,2020-06-01,62,4,23,
Colombia,Magdalena,2020-06-01,610,40,226,
Colombia,Meta,2020-06-01,975,9,466,
Colombia,Narino,2020-06-01,1102,50,164,
Colombia,Norte de Santander,2020-06-01,129,14,89,
Colombia,Putumayo,2020-06-01,9,1,1,
Colombia,Quindio,2020-06-01,111,3,77,
Colombia,Risaralda,2020-06-01,256,8,221,
Colombia,San Andres y Providencia,2020-06-01,17,0,11,
Colombia,Santander,2020-06-01,69,3,42,
Colombia,Sucre,2020-06-01,21,0,4,
Colombia,Tolima,2020-06-01,263,9,134,
Colombia,Unknown,2020-06-01,1087,0,0,
Colombia,Valle del Cauca,2020-06-01,3471,161,1041,
Colombia,Vaupes,2020-06-01,11,0,0,
Colombia,Vichada,2020-06-01,1,0,0,
Ethiopia,,2020-06-01,1257,12,217,
Indonesia,,2020-06-01,26940,1641,7637,
Malaysia,,2020-06-01,7857,115,6404,
Colombia,Amazonas,2020-06-02,1848,64,316,
Colombia,Antioquia,2020-06-02,1171,7,491,
Colombia,Arauca,2020-06-02,1,0,1,
Colombia,Atlantico,2020-06-02,4116,121,825,
Colombia,Bolivar,2020-06-02,3270,155,611,
Colombia,Boyaca,2020-06-02,211,11,90,
Colombia,Caldas,2020-06-02,138,6,97,
Colombia,Capital District,2020-06-02,10370,273,3715,
Colombia,Caqueta,2020-06-02,24,1,16,
Colombia,Casanare,2020-06-02,35,0,24,
Colombia,Cauca,2020-06-02,103,4,47,
Colombia,Cesar,2020-06-02,287,12,60,
Colombia,Choco,2020-06-02,227,8,31,
Colombia,Cordoba,2020-06-02,135,7,46,
Colombia,Cundinamarca,2020-06-02,975,19,300,
Colombia,Guainia,2020-06-02,6,0,0,
Colombia,Huila,2020-06-02,251,13,189,
Colombia,La Guajira,2020-06-02,64,4,26,
Colombia,Magdalena,2020-06-02,635,41,262,
Colombia,Meta,2020-06-02,977,10,600,
Colombia,Narino,2020-06-02,1210,50,199,
Colombia,Norte de Santander,2020-06-02,129,14,91,
Colombia,Putumayo,2020-06-02,9,1,1,
Colombia,Quindio,2020-06-02,112,3,78,
Colombia,Risaralda,2020-06-02,255,9,224,
Colombia,San Andres y Providencia,2020-06-02,17,0,15,
Colombia,Santander,2020-06-02,72,3,43,
Colombia,Sucre,2020-06-02,24,0,4,
Colombia,Tolima,2020-06-02,273,9,139,
Colombia,Unknown,2020-06-02,50,0,0,
Colombia,Valle del Cauca,2020-06-02,3586,169,1148,
Colombia,Vaupes,2020-06-02,11,0,0,
Colombia,Vichada,2020-06-02,1,0,0,
Ethiopia,,2020-06-02,1344,14,231,
Indonesia,,2020-06-02,27549,1663,7935,
Malaysia,,2020-06-02,7877,115,6470,
Colombia,Amazonas,2020-06-03,1852,65,469,
Colombia,Antioquia,2020-06-03,1200,7,505,
Colombia,Arauca,2020-06-03,1,0,1,
Colombia,Atlantico,2020-06-03,4550,127,1093,
Colombia,Bolivar,2020-06-03,3364,159,717,
Colombia,Boyaca,2020-06-03,212,11,101,
Colombia,Caldas,2020-06-03,147,6,105,
Colombia,Capital District,2020-06-03,10743,282,4115,
Colombia,Caqueta,2020-06-03,24,2,18,
Colombia,Casanare,2020-06-03,35,0,25,
Colombia,Cauca,2020-06-03,113,4,49,
Colombia,Cesar,2020-06-03,324,12,62,
Colombia,Choco,2020-06-03,295,9,47,
Colombia,Cordoba,2020-06-03,135,7,48,
Colombia,Cundinamarca,2020-06-03,1034,21,320,
Colombia,Guainia,2020-06-03,6,0,0,
Colombia,Huila,2020-06-03,251,13,191,
Colombia,La Guajira,2020-06-03,65,4,27,
Colombia,Magdalena,2020-06-03,653,43,269,
Colombia,Meta,2020-06-03,981,10,895,
Colombia,Narino,2020-06-03,1263,56,245,
Colombia,Norte de Santander,2020-06-03,130,14,97,
Colombia,Putumayo,2020-06-03,9,1,1,
Colombia,Quindio,2020-06-03,113,3,79,
Colombia,Risaralda,2020-06-03,258,9,225,
Colombia,San Andres y Providencia,2020-06-03,17,0,15,
